coaster_name,Length,Speed,Status,Manufacturer,Height,Lift/launch system,Designer,Type_Main,opening_date_clean,speed_mph,height_ft,Inversions_clean,Model
Storm Coaster,"470 m (1,540 ft)",70 km/h (43 mph),Operating,Mack Rides,28 m (92 ft),lift,Unknown,Steel,2013-12-06,43.5,91.9,0,Suspended Looping Coaster
Alpina Blitz,"719 m (2,359 ft)",83 km/h (52 mph),Operating,Mack Rides,33 m (108 ft),lift,Unknown,Steel,2014-04-12,51.6,108.3,0,Hypercoaster
Flug der Dämonen,"772 m (2,533 ft)",100 km/h (62 mph),Operating,Bolliger & Mabillard,40 m (130 ft),lift,Unknown,Steel,2014-03-29,62.1,131.2,5,Inverted Coaster – Custom
Wonder Mountain's Guardian,"304.8 m (1,000 ft)",,Operating,Art Engineering,18.3 m (60 ft),lift,Triotech,Steel,2014-05-24,,60.0,0,Suspended Looping Coaster (765m Extended w/ Helix)
Baron 1898,"501 m (1,644 ft)",90 km/h (56 mph),Operating,Bolliger & Mabillard,30 m (98 ft),lift,Unknown,Steel,2015-07-01,55.9,98.4,2,Inverted Coaster – Batman
Puss in Boots' Giant Journey,"426 m (1,398 ft)",,Operating,Zamperla,17 m (56 ft),lift,Unknown,Steel,2015-04-08,,55.8,0,Unknown
The Cú Chulainn Coaster,"1,092 m (3,583 ft)",90 km/h (56 mph),Operating,The Gravity Group,32 m (105 ft),lift,Unknown,Wood,2015-06-06,55.9,105.0,0,Suspended Looping Coaster-Custom
The Oath of Kärnan,"1,235 m (4,052 ft)",127 km/h (79 mph),Operating,Gerstlauer,73 m (240 ft),lift,Werner Stengel,Steel,2015-07-01,78.9,239.5,1,Tivoli
Flying Aces (roller coaster),"1,500 m (4,921 ft)",120 km/h (75 mph),Operating,Intamin,63 m (207 ft),lift,Unknown,Steel,2016-02-24,74.6,206.7,1,custom
Formuła (Energylandia),"560 m (1,840 ft)",79.2 km/h (49.2 mph),Operating,Vekoma,24.7 m (81 ft),launch,Unknown,Steel,2016-06-25,49.2,81.0,3,Unknown
Lost Gravity (roller coaster),"680 m (2,230 ft)",87 km/h (54 mph),Operating,Mack Rides,32 m (105 ft),lift,Unknown,Steel,2016-03-24,54.1,105.0,2,Junior Coaster (207m)
The Monster (Adventureland),"762 m (2,500 ft)",105 km/h (65 mph),Operating,Gerstlauer,40.6 m (133 ft),lift,Unknown,Steel,2016-06-04,65.2,133.2,5,Junior Coaster (Custom)
Pulsar (roller coaster),217 m (712 ft),101 km/h (63 mph),Operating,Mack Rides,45 m (148 ft),launch,Unknown,Steel,2016-06-04,62.8,147.6,0,Custom MK-900 M
Taron (roller coaster),"1,320 m (4,330 ft)",117 km/h (73 mph),Operating,Intamin,30.0 m (98.4 ft),launch,Unknown,Steel,2016-06-30,72.7,98.4,0,Junior Coaster (207m)
Wildfire (Kolmården Wildlife Park),"1,265 m (4,150 ft)",115 km/h (71 mph),Operating,Rocky Mountain Construction,56 m (184 ft),lift,Alan Schilke,Wood,2016-06-28,71.5,183.7,3,Family Coaster
Lech Coaster,"908 m (2,979 ft)",95 km/h (59 mph),Operating,Vekoma,40 m (131 ft),lift,Unknown,Steel,2017-07-01,59.0,131.2,3,Unknown
Red Force (roller coaster),"880 m (2,890 ft)",180 km/h (112 mph),Operating,Intamin,112 m (367 ft),launch,Unknown,Steel,2017-04-07,111.8,367.5,0,Hurricane
Star Trek: Operation Enterprise,"720 m (2,360 ft)",90 km/h (56 mph),Operating,Mack Rides,40 m (130 ft),launch,Unknown,Steel,2017-06-14,55.9,131.2,3,Boomerang
Hyperion (roller coaster),"1,450 m (4,760 ft)",142 km/h (88 mph),Operating,Intamin,77 m (253 ft),lift,Unknown,Steel,2018-07-14,88.2,252.6,1,Unknown
Fury (roller coaster),"600 m (2,000 ft)",106.6 km/h (66.2 mph),Operating,Gerstlauer,43 m (141 ft),launch,Unknown,Steel,2019-06-24,66.2,141.1,2,Mine Train
Hakugei (roller coaster),"1,530 m (5,020 ft)",107 km/h (66 mph),Operating,Rocky Mountain Construction,55 m (180 ft),lift,Unknown,Steel,2019-03-28,66.5,180.4,3,Sitdown Looping
Yukon Striker,"1,105 m (3,625 ft)",130 km/h (81 mph),Operating,Bolliger & Mabillard,68 m (223 ft),lift,Unknown,Steel,2019-05-03,80.8,223.1,4,Unknown
Zadra (roller coaster),"1,316 m (4,318 ft)",121 km/h (75 mph),Operating,Rocky Mountain Construction,62.8 m (206 ft),lift,Unknown,Other,2019-08-22,75.2,206.0,3,Boomerang
Pitts Special (roller coaster),"693 m (2,274 ft)",100 km/h (62 mph),Operating,Gerstlauer,43.5 m (143 ft),lift,Unknown,Steel,2020-06-24,62.1,142.7,0,Unknown
Looping Star (Clacton Pier),"365 m (1,198 ft)",,Operating,Pinfari,11 m (36 ft),lift,Unknown,Steel,2021-10-23,,36.1,1,LIM Shuttle Loop Coaster
